학교명,학교 영문명,본분교구분명,대학구분명,학교구분명,설립형태구분명,시도코드,시도명,소재지도로명주소,소재지지번주소,도로명우편번호,소재지우편번호,홈페이지주소,대표전화번호,대표팩스번호,설립일자,기준연도,데이터기준일자,제공기관코드,제공기관명
인덕대학교,Induk University,본교,전문대학,전문대학,사립,11,서울특별시,"서울특별시 노원구 초안산로 12 (월계동, 인덕대학)",,01878,,www.induk.ac.kr,02-950-7000,02-906-5340,26290,2024,45665,B340014,한국대학교육협의회
인하공업전문대학,Inha Technical College,본교,전문대학,전문대학,사립,28,인천광역시,"인천광역시 미추홀구 인하로 100 (용현동, 인하대,인하공전,정석항공고)",,22212,,www.inhatc.ac.kr,032-870-2114,032-870-2489,21229,2024,45665,B340014,한국대학교육협의회
백석문화대학교,Baekseok Culture University,본교,전문대학,전문대학,사립,44,충청남도,충청남도 천안시 동남구 백석대학로 1 (안서동),,31065,,www.bscu.ac.kr,041-550-0700,041-550-9113,34394,2024,45665,B340014,한국대학교육협의회
백제예술대학교,Paekche Institute Of The Arts,본교,전문대학,전문대학,사립,52,전북특별자치도,"전북특별자치도 완주군 봉동읍 백제대학로 171 (제내리, 백제예술대학)",,55313,,www.paekche.ac.kr,063-260-9114,063-263-3607,33572,2024,45665,B340014,한국대학교육협의회
부산경상대학교,Busan Kyungsang College,본교,전문대학,전문대학,사립,26,부산광역시,"부산광역시 연제구 고분로 170 (연산동, 부산경상대학)",,47583,,www.bsks.ac.kr,051-850-1000,051-862-7577,29174,2024,45665,B340014,한국대학교육협의회
부산과학기술대학교,Busan Institute Of Science And Technology,본교,전문대학,전문대학,사립,26,부산광역시,"부산광역시 북구 시랑로132번길 88 (구포동, 부산과학기술대학교)",,46639,,bist.ac.kr,051-334-6666,051-330-7027,28125,2024,45665,B340014,한국대학교육협의회
부산보건대학교,Busan Health University,본교,전문대학,전문대학,사립,26,부산광역시,"부산광역시 사하구 사리로55번길 16 (괴정동, 동주대학)",,49318,,www.bhu.ac.kr/,051-200-3300,051-201-5420,28537,2024,45665,B340014,한국대학교육협의회
부산여자대학교,Busanwomenscollege,본교,전문대학,전문대학,사립,26,부산광역시,"부산광역시 부산진구 진남로 506 (양정동, 부산여자대학)",,47228,,www.bwc.ac.kr,051-852-0081,051-867-4705,28856,2024,45665,B340014,한국대학교육협의회
부산예술대학교,Busan Arts College,본교,전문대학,전문대학,사립,26,부산광역시,"부산광역시 남구 못골번영로71번길 74 (대연동, 부산예술대학)",,48429,,www.busanarts.ac.kr,051-628-3991,051-628-2719,36220,2024,45665,B340014,한국대학교육협의회
부천대학교,Bucheon University,본교,전문대학,전문대학,사립,41,경기도,"경기도 부천시 원미구 신흥로56번길 25 (심곡동, 부천대학)",,14632,,www.bc.ac.kr,032-610-0114,032-663-0114,28922,2024,45665,B340014,한국대학교육협의회
삼육보건대학교,Sahmyook Health University,본교,전문대학,전문대학,사립,11,서울특별시,"서울특별시 동대문구 망우로 82 (휘경동, 삼육보건대학)",,02500,,www.shu.ac.kr,02-2212-0082,02-2215-2380,13241,2024,45665,B340014,한국대학교육협의회
상지영서대학교,Sangji Youngseo College,본교,전문대학,전문대학,사립,51,강원특별자치도,강원특별자치도 원주시 상지대길 83 (우산동),,26339,,www.sy.ac.kr,033-744-4150,033-744-1333,26733,2024,45665,B340014,한국대학교육협의회
서라벌대학교,Sorabol University,본교,전문대학,전문대학,사립,47,경상북도,"경상북도 경주시 태종로 478-20 (충효동, 서라벌대학)",,38057,,home.sorabol.ac.kr/,054-770-3500,054-741-5429,29607,2024,45665,B340014,한국대학교육협의회
서영대학교,Seoyeong University,본교,전문대학,전문대학,사립,29,광주광역시,"광주광역시 북구 서강로 1 (운암동, 서영대학교)",,61268,,www.seoyeong.ac.kr,062-520-5114,062-523-4606,28915,2024,45665,B340014,한국대학교육협의회
서울여자간호대학교,Seoul Women’S College Of Nursing,본교,전문대학,전문대학,사립,11,서울특별시,"서울특별시 서대문구 간호대로 38 (홍제동, 서울여자간호대학교)",,03617,,www.snjc.ac.kr,02-2287-1771,02-395-8018,19872,2024,45665,B340014,한국대학교육협의회
서울예술대학교,Seoul Institute Of The Arts,본교,전문대학,전문대학,사립,41,경기도,"경기도 안산시 단원구 예술대학로 171 (고잔동, 서울예술대학)",,15263,,www.seoularts.ac.kr,031-412-7100,031-412-7149,22748,2024,45665,B340014,한국대학교육협의회
서일대학교,Seoil University,본교,전문대학,전문대학,사립,11,서울특별시,서울특별시 중랑구 용마산로90길 28 (면목동),,02192,,www.seoil.ac.kr,02-490-7300,02-490-7348,27384,2024,45665,B340014,한국대학교육협의회
서정대학교,Seojeong University,본교,전문대학,전문대학,사립,41,경기도,경기도 양주시 은현면 서정로 27,,11429,,www.seojeong.ac.kr,031-859-6900,031-859-6904,37579,2024,45665,B340014,한국대학교육협의회
서해대학,Sohae College,본교,전문대학,전문대학,사립,52,전북특별자치도,"전북특별자치도 군산시 서해대길 6 (오룡동, 서해대학)",,54116,,www.sohae.ac.kr,063-460-9126,063-460-9325,27109,2024,45665,B340014,한국대학교육협의회
선린대학교,Sunlin  University,본교,전문대학,전문대학,사립,47,경상북도,"경상북도 포항시 북구 흥해읍 초곡길36번길 30 (초곡리, 선린대학)",,37560,,www.sunlin.ac.kr,054-260-5000,054-261-9455,25282,2024,45665,B340014,한국대학교육협의회
성심외국어대학,Sungsim College Of Foreign Languages,본교,전문대학,전문대학,사립,26,부산광역시,"부산광역시 해운대구 반송순환로 142 (반송동, 영산대학교부산캠퍼스)",,48015,,www.sungsim.ac.kr,055-380-9094,055-380-9376,30295,2024,45665,B340014,한국대학교육협의회
성운대학교,SungWoon University,본교,전문대학,전문대학,사립,47,경상북도,"경상북도 영천시 신녕면 대학길 105 (화남리, 성덕대학교)",,38801,,www.sw.ac.kr,054-330-8800,054-330-8810,35425,2024,45665,B340014,한국대학교육협의회
세경대학교,Saekyung University,본교,전문대학,전문대학,사립,51,강원특별자치도,강원특별자치도 영월군 영월읍 하송로 197,,26239,,www.saekyung.ac.kr,033-371-3000,033-371-3029,34291,2024,45665,B340014,한국대학교육협의회
송곡대학교,Songgok University,본교,전문대학,전문대학,사립,51,강원특별자치도,강원특별자치도 춘천시 남산면 송곡대학길 34,,24465,,www.songgok.ac.kr,033-260-3600,033-261-4599,37579,2024,45665,B340014,한국대학교육협의회
송호대학교,Songho University,본교,전문대학,전문대학,사립,51,강원특별자치도,강원특별자치도 횡성군 횡성읍 남산로 210,,25242,,www.songho.ac.kr,033-340-1000,033-340-1006,36514,2024,45665,B340014,한국대학교육협의회
수성대학교,Suseong University,본교,전문대학,전문대학,사립,27,대구광역시,"대구광역시 수성구 달구벌대로528길 15 (만촌동, 수성대학교)",,42078,,www.sc.ac.kr,053-749-7000,053-751-1823,27017,2024,45665,B340014,한국대학교육협의회
수원과학대학교,Suwon Science College,본교,전문대학,전문대학,사립,41,경기도,"경기도 화성시 정남면 세자로 288 (보통리, 수원과학대학)",,18516,,www.ssc.ac.kr,031-350-2000,031-354-8988,28550,2024,45665,B340014,한국대학교육협의회
수원여자대학교,Suwon Women’S University,본교,전문대학,전문대학,사립,41,경기도,"경기도 수원시 권선구 온정로 72 (오목천동, 수원여자대학)",,16632,,www.swc.ac.kr,031-290-8042,031-290-8297,25263,2024,45665,B340014,한국대학교육협의회
대구과학대학교,Taegu Science University,본교,전문대학,전문대학,사립,27,대구광역시,"대구광역시 북구 영송로 47 (태전동, 대구과학대학)",,41453,,www.tsu.ac.kr,053-320-1114,053-320-1045,22045,2024,45665,B340014,한국대학교육협의회
대구미래대학교,Daegu Future College,본교,전문대학,전문대학,사립,47,경상북도,"경상북도 경산시 미래로 114 (평산동, 대구미래대학)",,38607,,www.dfc.ac.kr,053-810-9405,053-802-3162,29646,2024,45665,B340014,한국대학교육협의회
대구보건대학교,Daegu Health College,본교,전문대학,전문대학,사립,27,대구광역시,"대구광역시 북구 영송로 15 (태전동, 대구보건대학)",,41453,,www.dhc.ac.kr,053-320-1300,053-320-1239,26290,2024,45665,B340014,한국대학교육협의회
대덕대학교,Daeduk University,본교,전문대학,전문대학,사립,30,대전광역시,"대전광역시 유성구 가정북로 68 (장동, 대덕대학)",,34111,,www.ddu.ac.kr,042-866-0200,042-862-7343,29566,2024,45665,B340014,한국대학교육협의회
대동대학교,Daedong University,본교,전문대학,전문대학,사립,26,부산광역시,"부산광역시 금정구 동부곡로27번길 88 (부곡동, 대동대학교)",,46270,,www.daedong.ac.kr,051-518-5444,051-514-5847,25998,2024,45665,B340014,한국대학교육협의회
대림대학교,Daelim University College,본교,전문대학,전문대학,사립,41,경기도,"경기도 안양시 동안구 임곡로 29 (비산동, 대림대학교)",,13916,,www.daelim.ac.kr,031-467-4756,031-446-8729,28300,2024,45665,B340014,한국대학교육협의회
대원대학교,Daewon University College,본교,전문대학,전문대학,사립,43,충청북도,"충청북도 제천시 대학로 316 (신월동, 대원대학)",,27135,,www.daewon.ac.kr,043-645-9171,043-645-9170,34759,2024,45665,B340014,한국대학교육협의회
대전과학기술대학교,Daejeon Institute Of Science And Technology,본교,전문대학,전문대학,사립,30,대전광역시,"대전광역시 서구 혜천로 100 (복수동, 대전과학기술대학교)",,35408,,www.dst.ac.kr,042-580-6114,042-580-6159,14716,2024,45665,B340014,한국대학교육협의회
대전보건대학교,DAEJEON HEALTH UNIVERSITY,본교,전문대학,전문대학,사립,30,대전광역시,"대전광역시 동구 충정로 21 (가양동, 대전보건대학)",,34504,,www.hit.ac.kr,042-670-9000,042-670-9049,28462,2024,45665,B340014,한국대학교육협의회
동강대학교,Donggang University,본교,전문대학,전문대학,사립,29,광주광역시,"광주광역시 북구 동문대로 50 (풍향동, 동강대학)",,61200,,www.dkc.ac.kr,062-520-2212,062-520-2216,27783,2024,45665,B340014,한국대학교육협의회
동남보건대학교,Dongnam Health University,본교,전문대학,전문대학,사립,41,경기도,"경기도 수원시 장안구 천천로74번길 50 (정자동, 동남보건전문대학)",,16328,,www.dongnam.ac.kr,031-249-6333,031-249-6349,26955,2024,45665,B340014,한국대학교육협의회
동부산대학교,Dong-Pusan College,본교,전문대학,전문대학,사립,26,부산광역시,"부산광역시 해운대구 운봉길 60 (반송동, 동부산대학교)",,48000,,www.dpc.ac.kr,051-542-8891,051-540-3844,28852,2024,45665,B340014,한국대학교육협의회
동서울대학교,Dong Seoul University,본교,전문대학,전문대학,사립,41,경기도,"경기도 성남시 수정구 복정로 76 (복정동, 동서울대학)",,13117,,www.du.ac.kr,031-720-2114,031-721-1999,28564,2024,45665,B340014,한국대학교육협의회
동아방송예술대학교,Dong-Ah Institute Of Media And Arts,본교,전문대학,전문대학,사립,41,경기도,"경기도 안성시 삼죽면 동아예대길 47 (진촌리, 동아방송예술대학교)",,17516,,www.dima.ac.kr,031-670-6600,031-670-6879,35425,2024,45665,B340014,한국대학교육협의회
동아보건대학교,Donga University of Health,본교,전문대학,전문대학,사립,46,전라남도,"전라남도 영암군 학산면 영산로 76-57 (독천리, 동아보건대학교)",,58439,,www.duh.ac.kr,061-470-1700,061-470-1615,34404,2024,45665,B340014,한국대학교육협의회
동양미래대학교,Dongyang Mirae University,본교,전문대학,전문대학,사립,11,서울특별시,"서울특별시 구로구 경인로 445 (고척동, 동양미래대학)",,08221,,www.dongyang.ac.kr/,02-2610-1700,02-2688-5494,23853,2024,45665,B340014,한국대학교육협의회
동우대학,Dong-U College,본교,전문대학,전문대학,사립,51,강원특별자치도,"강원특별자치도 속초시 도리원길 5 (노학동, 동우대학)",,24865,,www.duc.ac.kr,033-632-6551,033-639-0518,29646,2024,45665,B340014,한국대학교육협의회
동원과학기술대학교,Dongwon Institute Of Science And Technology,본교,전문대학,전문대학,사립,48,경상남도,"경상남도 양산시 명곡로 321 (명곡동, 동원과학기술대학교)",,50578,,www.dist.ac.kr,055-370-8100,055-386-2000,33315,2024,45665,B340014,한국대학교육협의회
동원대학교,Tongwon University,본교,전문대학,전문대학,사립,41,경기도,"경기도 광주시 곤지암읍 경충대로 26 (신촌리, 동원대학)",,12813,,www.tw.ac.kr,1544-4114,031-763-9149,35060,2024,45665,B340014,한국대학교육협의회
동의과학대학교,Dong Eui Institute Of Technology,본교,전문대학,전문대학,사립,26,부산광역시,"부산광역시 부산진구 양지로 54 (양정동, 동의과학대학)",,47230,,www.dit.ac.kr,051-852-0011,051-860-3270,26647,2024,45665,B340014,한국대학교육협의회
두원공과대학교,Doowon Technical University,본교,전문대학,전문대학,사립,41,경기도,"경기도 안성시 죽산면 관음당길 51 (장원리, 두원공과대학교)",,17520,,www.doowon.ac.kr,031-8056-7000,031-8056-7100,34394,2024,45665,B340014,한국대학교육협의회
